0, -20, 0, 0, 0, 0
0.083333, -20, 0, 0, 0, 0
0.166666, -20.0011, -0.00655226, 0.0167924, 0.000762507, -0.000542179
0.249999, -20.0046, -0.0341432, 0.0810739, 0.00378393, -0.00286628
0.333332, -20.0108, -0.0978975, 0.217523, 0.0105932, -0.00814475
0.416665, -20.0195, -0.211542, 0.443395, 0.0227246, -0.0172626
0.499998, -20.0304, -0.387416, 0.769127, 0.0417306, -0.0309485
0.583331, -20.0432, -0.636272, 1.19816, 0.0692346, -0.0497402
0.666664, -20.0576, -0.967251, 1.7271, 0.106927, -0.0739554
0.749997, -20.0733, -1.38778, 2.34581, 0.156525, -0.103606
0.83333, -20.0897, -1.90344, 3.0378, 0.219654, -0.138288
0.916663, -20.1067, -2.51781, 3.7807, 0.297688, -0.177064
0.999996, -20.1237, -3.23229, 4.54708, 0.391533, -0.218359
1.08333, -20.1403, -4.04593, 5.30554, 0.501394, -0.259924
1.16666, -20.1561, -4.95526, 6.02218, 0.626569, -0.298868
1.25, -20.1707, -5.95423, 6.66237, 0.765265, -0.331794
1.33333, -20.1836, -7.0342, 7.19254, 0.914518, -0.355032
1.41666, -20.1946, -8.18416, 7.58235, 1.0702, -0.364959
1.49999, -20.2034, -9.39097, 7.80651, 1.22719, -0.358355
1.58333, -20.2097, -10.6399, 7.84646, 1.3796, -0.332761
1.66666, -20.2134, -11.9153, 7.69166, 1.52118, -0.286782
1.74999, -20.2146, -13.2012, 7.34018, 1.64579, -0.220275
1.83333, -20.2133, -14.4823, 6.79872, 1.74782, -0.134395
1.91666, -20.2099, -15.7448, 6.082, 1.8227, -0.0314952
1.99999, -20.2045, -16.9766, 5.21157, 1.86721, 0.0851058
2.08333, -20.1977, -18.1683, 4.21431, 1.87978, 0.211459
2.16666, -20.1898, -19.3131, 3.1206, 1.86057, 0.343365
2.24999, -20.1813, -20.4071, 1.9625, 1.81143, 0.476741
2.33332, -20.1727, -21.4491, 0.772127, 1.73575, 0.607947
2.41666, -20.1644, -22.4401, -0.419763, 1.63819, 0.734006
2.49999, -20.1567, -23.3835, -1.58492, 1.52436, 0.852741
2.58332, -20.1499, -24.2839, -2.69829, 1.40046, 0.962807
2.66666, -20.1442, -25.1472, -3.73857, 1.27297, 1.06364
2.74999, -20.1397, -25.9799, -4.68847, 1.14825, 1.15532
2.83332, -20.1366, -26.7888, -5.53467, 1.03234, 1.23847
2.91666, -20.1347, -27.5806, -6.26779, 0.930703, 1.31401
2.99999, -20.134, -28.3617, -6.88222, 0.847996, 1.38305
3.08332, -20.1343, -29.1377, -7.37586, 0.787978, 1.44672
3.16665, -20.1357, -29.9149, -7.75083, 0.753266, 1.50618
3.24999, -20.1384, -30.7005, -8.01225, 0.745528, 1.56259
3.33332, -20.1421, -31.501, -8.16656, 0.765723, 1.61688
3.41665, -20.1468, -32.3221, -8.22153, 0.814058, 1.6698
3.49999, -20.1523, -33.1688, -8.18619, 0.890012, 1.72194
3.58332, -20.1584, -34.0451, -8.07074, 0.992347, 1.77382
3.66665, -20.1649, -34.9544, -7.88655, 1.11911, 1.82589
3.74999, -20.1717, -35.8993, -7.64608, 1.26766, 1.87868
3.83332, -20.1786, -36.8819, -7.36277, 1.43463, 1.9328
3.91665, -20.1856, -37.9036, -7.05088, 1.61604, 1.98904
3.99998, -20.1924, -38.965, -6.72538, 1.80725, 2.0484
4.08332, -20.199, -40.0665, -6.40169, 2.003, 2.11215
4.16665, -20.2053, -41.2074, -6.09535, 2.19752, 2.1818
4.24998, -20.2111, -42.3866, -5.82188, 2.38453, 2.25908
4.33332, -20.2164, -43.6024, -5.59635, 2.55735, 2.34597
4.41665, -20.2211, -44.8524, -5.43312, 2.70892, 2.44454
4.49998, -20.225, -46.1336, -5.34543, 2.83197, 2.55692
4.58332, -20.2282, -47.4423, -5.34518, 2.91907, 2.6852
4.66665, -20.2305, -48.7743, -5.44249, 2.96276, 2.83124
4.74998, -20.2319, -50.1248, -5.6456, 2.95567, 2.99664
4.83331, -20.2323, -51.4885, -5.96048, 2.89069, 3.18252
4.91665, -20.2318, -52.8599, -6.39084, 2.76109, 3.38947
4.99998, -20.2303, -54.2329, -6.93786, 2.56073, 3.61745
5.08331, -20.2277, -55.6013, -7.60034, 2.28415, 3.86568
5.16665, -20.2243, -56.9589, -8.37463, 1.92685, 4.13265
5.24998, -20.2198, -58.2993, -9.25481, 1.48538, 4.41612
5.33331, -20.2144, -59.6163, -10.2329, 0.957553, 4.71314
5.41665, -20.2082, -60.9041, -11.299, 0.342545, 5.02014
5.49998, -20.2012, -62.1568, -12.4419, -0.358928, 5.33308
5.58331, -20.1934, -63.3692, -13.6489, -1.14461, 5.64756
5.66664, -20.1849, -64.5364, -14.9068, -2.01061, 5.959
5.74998, -20.1759, -65.654, -16.2018, -2.95145, 6.26282
5.83331, -20.1663, -66.718, -17.5199, -3.96007, 6.55461
5.91664, -20.1563, -67.7251, -18.8476, -5.02799, 6.83032
