0, 1, 0, 0, 0, 0.36, 0, 0
0.033333, 1, 0, 0, 0, 0.36, 0, 0
0.066666, 1, 6.63883e-16, 1.58577e-05, 1.58576e-05, 0.36, 4.74487e-06, -4.7449e-06
0.099999, 1, 6.21338e-14, 8.94272e-05, 8.94275e-05, 0.36, 2.87038e-05, -2.87039e-05
0.133332, 1, 8.73761e-14, 0.000279208, 0.00027921, 0.36, 9.48528e-05, -9.48521e-05
0.166665, 1, 2.59614e-13, 0.000666974, 0.000666978, 0.36, 0.000235786, -0.000235784
0.199998, 0.999998, 3.60326e-12, 0.00131415, 0.00131416, 0.359999, 0.000481266, -0.000481266
0.233331, 0.999995, 1.4601e-11, 0.00230915, 0.00230915, 0.359997, 0.000867049, -0.00086705
0.266664, 0.999986, 6.37604e-12, 0.00374284, 0.00374284, 0.359992, 0.00143238, -0.00143238
0.299997, 0.999967, 3.44546e-11, 0.00570676, 0.00570675, 0.359982, 0.00221717, -0.00221718
0.33333, 0.999931, 4.54374e-11, 0.00829297, 0.00829297, 0.359961, 0.00326149, -0.00326149
0.366663, 0.999865, 2.09032e-10, 0.0115937, 0.0115937, 0.359923, 0.00460512, -0.00460512
0.399996, 0.999754, 5.33886e-10, 0.0156987, 0.0156988, 0.359857, 0.00628678, -0.00628679
0.433329, 0.999572, 9.44536e-10, 0.0206947, 0.0206947, 0.359749, 0.00834343, -0.00834344
0.466662, 0.999289, 8.11267e-10, 0.0266632, 0.0266632, 0.359581, 0.0108096, -0.0108096
0.499995, 0.998865, 5.00845e-10, 0.0336801, 0.0336801, 0.359326, 0.0137168, -0.0137168
0.533328, 0.99825, 8.11146e-10, 0.0418127, 0.0418126, 0.358955, 0.0170922, -0.0170922
0.566661, 0.997384, 1.20001e-09, 0.0511183, 0.0511183, 0.35843, 0.0209581, -0.0209581
0.599994, 0.996194, 2.18609e-09, 0.061642, 0.061642, 0.357708, 0.0253305, -0.0253305
0.633327, 0.994597, 2.64014e-09, 0.073414, 0.073414, 0.356736, 0.0302178, -0.0302178
0.66666, 0.9925, 2.93707e-09, 0.0864472, 0.0864472, 0.355459, 0.0356197, -0.0356197
0.699993, 0.989803, 3.89193e-09, 0.100734, 0.100734, 0.353816, 0.0415256, -0.0415256
0.733326, 0.986398, 4.08183e-09, 0.116244, 0.116244, 0.351742, 0.0479133, -0.0479133
0.766659, 0.982177, 1.09571e-08, 0.132922, 0.132922, 0.349174, 0.0547479, -0.0547479
0.799992, 0.977036, 1.31431e-08, 0.150684, 0.150684, 0.346053, 0.0619809, -0.0619809
0.833325, 0.97088, 1.19639e-08, 0.169417, 0.169418, 0.342324, 0.0695501, -0.0695501
0.866658, 0.963633, 8.68554e-09, 0.188981, 0.188981, 0.337949, 0.0773798, -0.0773798
0.899991, 0.955242, 1.43921e-08, 0.209205, 0.209205, 0.332903, 0.085382, -0.0853819
0.933324, 0.945686, 9.02605e-09, 0.229894, 0.229894, 0.327185, 0.0934586, -0.0934586
0.966657, 0.934986, 1.78581e-08, 0.25083, 0.25083, 0.320818, 0.101505, -0.101505
0.99999, 0.923203, 1.04874e-08, 0.271783, 0.271783, 0.313852, 0.109413, -0.109413
1.03332, 0.91045, 1.97147e-08, 0.292511, 0.292511, 0.306367, 0.117078, -0.117078
1.06666, 0.89688, 1.46918e-08, 0.312776, 0.312776, 0.298469, 0.124398, -0.124398
1.09999, 0.882695, 1.62877e-08, 0.332346, 0.332347, 0.290288, 0.131286, -0.131286
1.13332, 0.86813, 1.89532e-08, 0.351012, 0.351012, 0.281972, 0.137669, -0.137669
1.16665, 0.853445, 1.03257e-08, 0.368585, 0.368585, 0.27368, 0.14349, -0.14349
1.19999, 0.838911, 1.43674e-08, 0.384914, 0.384914, 0.265573, 0.148715, -0.148715
1.23332, 0.824798, -7.32997e-09, 0.39988, 0.39988, 0.257807, 0.153325, -0.153325
1.26665, 0.811358, 3.03316e-08, 0.413405, 0.413405, 0.250522, 0.157324, -0.157324
1.29999, 0.798813, 7.97957e-09, 0.425451, 0.425451, 0.243838, 0.160727, -0.160727
1.33332, 0.787345, 5.73071e-08, 0.436016, 0.436016, 0.237847, 0.163566, -0.163566
1.36665, 0.777081, 4.8843e-08, 0.445133, 0.445133, 0.232611, 0.165879, -0.165879
1.39999, 0.768101, 5.29376e-08, 0.452866, 0.452866, 0.22816, 0.167714, -0.167714
1.43332, 0.760425, 1.06066e-08, 0.459303, 0.459303, 0.224495, 0.169119, -0.169119
1.46665, 0.754025, 2.11584e-08, 0.464555, 0.464555, 0.221589, 0.170145, -0.170145
1.49998, 0.748824, -1.4217e-08, 0.468748, 0.468748, 0.219388, 0.170843, -0.170843
1.53332, 0.744711, 4.15139e-08, 0.472018, 0.472018, 0.217822, 0.171262, -0.171262
1.56665, 0.741546, 2.34023e-09, 0.474508, 0.474508, 0.216804, 0.17145, -0.17145
1.59998, 0.73917, 9.18832e-09, 0.476363, 0.476363, 0.216241, 0.171452, -0.171452
1.63332, 0.737417, 2.8941e-08, 0.477724, 0.477724, 0.216037, 0.171311, -0.171311
1.66665, 0.736125, 2.07172e-08, 0.478723, 0.478723, 0.216095, 0.171068, -0.171068
1.69998, 0.735139, 3.62785e-08, 0.479484, 0.479485, 0.216327, 0.170757, -0.170757
1.73331, 0.734321, 3.40029e-08, 0.480115, 0.480115, 0.216653, 0.170413, -0.170413
1.76665, 0.733553, 3.42174e-08, 0.480704, 0.480705, 0.217006, 0.170063, -0.170063
1.79998, 0.732743, 3.86439e-08, 0.481325, 0.481325, 0.217332, 0.169728, -0.169728
