1.68427e-320, -7, 15, 0, 0, 0, 0, 0, 0
0.02, -7, 15, 0, 0, 0, 0, 0, 0
0.04, -7, 15, 0.000324452, -0.000145982, 5.41469e-06, 4.85727e-07, -1.18206e-06, 2.57911e-07
0.06, -6.99999, 14.9998, 0.00166132, -0.000734417, 1.23172e-05, 6.4322e-06, -6.18057e-06, 1.30973e-06
0.08, -6.99997, 14.9993, 0.00471801, -0.00205838, 6.84051e-06, 2.5101e-05, -1.74964e-05, 3.64902e-06
0.1, -6.99996, 14.9985, 0.0101779, -0.00440189, -2.1681e-05, 6.2633e-05, -3.74523e-05, 7.74418e-06
0.12, -6.99994, 14.9972, 0.0187134, -0.00804437, -8.49731e-05, 0.000125498, -6.84201e-05, 1.40623e-05
0.14, -6.99991, 14.9952, 0.0309821, -0.0132582, -0.000194726, 0.000220003, -0.000112637, 2.30341e-05
0.16, -6.99989, 14.9926, 0.0476289, -0.0203099, -0.000363272, 0.000352544, -0.000172302, 3.50677e-05
0.18, -6.99985, 14.9891, 0.0692858, -0.0294592, -0.000603758, 0.000529602, -0.000249508, 5.05284e-05
0.2, -6.99982, 14.9847, 0.0965729, -0.0409592, -0.00093053, 0.000757839, -0.000346258, 6.97364e-05
0.22, -6.99978, 14.9793, 0.130099, -0.0550565, -0.0013595, 0.00104417, -0.000464438, 9.2953e-05
0.24, -6.99974, 14.9728, 0.170462, -0.0719905, -0.00190856, 0.00139587, -0.000605807, 0.000120372
0.26, -6.99969, 14.965, 0.218249, -0.0919936, -0.00259802, 0.00182061, -0.000771976, 0.000152105
0.28, -6.99964, 14.956, 0.274041, -0.115291, -0.00345108, 0.00232664, -0.00096439, 0.000188172
0.3, -6.99959, 14.9455, 0.338407, -0.1421, -0.00449431, 0.00292279, -0.00118431, 0.000228486
0.32, -6.99953, 14.9335, 0.411912, -0.17263, -0.00575812, 0.00361863, -0.00143277, 0.000272839
0.34, -6.99946, 14.9199, 0.495111, -0.207083, -0.00727731, 0.00442455, -0.0017106, 0.000320888
0.36, -6.99939, 14.9047, 0.588555, -0.245653, -0.00909157, 0.00535186, -0.00201833, 0.00037214
0.38, -6.99932, 14.8877, 0.69279, -0.288525, -0.011246, 0.00641285, -0.00235622, 0.000425933
0.4, -6.99924, 14.8689, 0.808357, -0.335874, -0.0137916, 0.00762092, -0.00272418, 0.000481424
0.42, -6.99915, 14.8482, 0.935794, -0.387867, -0.0167858, 0.00899065, -0.00312178, 0.000537572
0.44, -6.99905, 14.8255, 1.07564, -0.444661, -0.0202931, 0.0105378, -0.00354817, 0.000593116
0.46, -6.99895, 14.8008, 1.22841, -0.506405, -0.0243853, 0.0122796, -0.00400205, 0.000646564
0.48, -6.99884, 14.7739, 1.39466, -0.573235, -0.0291421, 0.0142344, -0.00448163, 0.000696171
0.5, -6.99872, 14.7449, 1.5749, -0.645279, -0.0346515, 0.0164221, -0.00498459, 0.000739923
0.52, -6.99859, 14.7136, 1.76966, -0.722651, -0.0410104, 0.018864, -0.005508, 0.000775521
0.54, -6.99845, 14.6799, 1.97947, -0.805456, -0.0483247, 0.0215828, -0.00604826, 0.000800362
0.56, -6.99831, 14.6439, 2.20485, -0.893786, -0.0567098, 0.0246026, -0.00660109, 0.000811519
0.58, -6.99815, 14.6055, 2.44633, -0.987722, -0.0662907, 0.027949, -0.00716139, 0.000805732
0.6, -6.99797, 14.5645, 2.70442, -1.08733, -0.0772025, 0.0316487, -0.00772326, 0.000779386
0.62, -6.99779, 14.521, 2.97965, -1.19266, -0.0895903, 0.03573, -0.00827982, 0.0007285
0.64, -6.99759, 14.4749, 3.27252, -1.30376, -0.103609, 0.0402219, -0.00882326, 0.000648711
0.66, -6.99738, 14.4262, 3.58355, -1.42065, -0.119425, 0.045155, -0.00934467, 0.000535268
0.68, -6.99716, 14.3747, 3.91324, -1.54335, -0.137212, 0.0505603, -0.009834, 0.000383017
0.7, -6.99693, 14.3205, 4.26208, -1.67184, -0.157157, 0.0564699, -0.01028, 0.000186398
0.72, -6.99668, 14.2635, 4.63057, -1.8061, -0.179454, 0.0629161, -0.0106701, -6.05576e-05
0.74, -6.99641, 14.2037, 5.01917, -1.94611, -0.204306, 0.0699318, -0.0109904, -0.000364229
0.76, -6.99613, 14.141, 5.42835, -2.0918, -0.231926, 0.0775497, -0.0112255, -0.0007314
0.78, -6.99584, 14.0755, 5.85855, -2.2431, -0.262534, 0.0858023, -0.0113586, -0.00116925
0.8, -6.99554, 14.0069, 6.31019, -2.39992, -0.296357, 0.0947218, -0.0113714, -0.00168534
0.82, -6.99522, 13.9354, 6.78368, -2.56215, -0.333628, 0.104339, -0.0112438, -0.00228759
0.84, -6.99489, 13.8609, 7.27939, -2.72967, -0.374584, 0.114684, -0.0109542, -0.00298427
0.86, -6.99455, 13.7833, 7.79766, -2.90233, -0.419466, 0.125786, -0.0104794, -0.00378391
0.88, -6.9942, 13.7027, 8.3388, -3.07997, -0.468518, 0.13767, -0.00979462, -0.00469535
0.9, -6.99384, 13.619, 8.90309, -3.26239, -0.521983, 0.15036, -0.00887319, -0.00572762
0.92, -6.99347, 13.5322, 9.49076, -3.44941, -0.580103, 0.163878, -0.00768703, -0.00688989
0.94, -6.9931, 13.4422, 10.102, -3.64079, -0.643117, 0.178242, -0.0062065, -0.00819144
0.96, -6.99272, 13.349, 10.7369, -3.8363, -0.711259, 0.193467, -0.00440047, -0.00964158
0.98, -6.99234, 13.2527, 11.3956, -4.03568, -0.784755, 0.209562, -0.00223645, -0.0112495
