4.94066e-324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0066667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0133334, -1.06449e-07, -2.23138e-07, -7.634e-08, -1.4946e-08, -4.3637e-07, -3.62955e-08, 2.12898e-07, 4.46276e-07, 1.5268e-07, 2.98921e-08, 8.72741e-07, 7.25909e-08
0.0200001, -6.62e-07, -1.36656e-06, -4.42083e-07, -9.99064e-08, -2.6673e-06, -2.26657e-07, 1.324e-06, 2.73312e-06, 8.84166e-07, 1.99813e-07, 5.33461e-06, 4.53315e-07
0.0266668, -2.23358e-06, -4.52912e-06, -1.37315e-06, -3.60043e-07, -8.81436e-06, -7.61904e-07, 4.46716e-06, 9.05824e-06, 2.7463e-06, 7.20086e-07, 1.76287e-05, 1.52381e-06
0.0333335, -5.55231e-06, -1.10398e-05, -3.11841e-06, -9.46958e-07, -2.14028e-05, -1.87147e-06, 1.11046e-05, 2.20797e-05, 6.23681e-06, 1.89392e-06, 4.28057e-05, 3.74293e-06
0.0400002, -1.14712e-05, -2.23354e-05, -5.85268e-06, -2.05171e-06, -4.31019e-05, -3.7934e-06, 2.29423e-05, 4.46708e-05, 1.17054e-05, 4.10341e-06, 8.62039e-05, 7.58681e-06
0.0466669, -2.09355e-05, -3.98737e-05, -9.65792e-06, -3.89831e-06, -7.65442e-05, -6.75331e-06, 4.1871e-05, 7.97474e-05, 1.93158e-05, 7.79661e-06, 0.000153088, 1.35066e-05
0.0533336, -3.49625e-05, -6.50725e-05, -1.45219e-05, -6.73866e-06, -0.000124203, -1.09514e-05, 6.9925e-05, 0.000130145, 2.90438e-05, 1.34773e-05, 0.000248406, 2.19028e-05
0.0600003, -5.4627e-05, -9.92683e-05, -2.03477e-05, -1.08489e-05, -0.000188316, -1.6556e-05, 0.000109254, 0.000198537, 4.06954e-05, 2.16979e-05, 0.000376632, 3.31119e-05
0.066667, -8.10526e-05, -0.000143689, -2.69689e-05, -1.65271e-05, -0.00027084, -2.37015e-05, 0.000162105, 0.000287377, 5.39378e-05, 3.30542e-05, 0.000541679, 4.7403e-05
