0	0.2
0.02002	0.2004
0.04004	0.2008
0.06006	0.2012
0.08008	0.2016
0.1001	0.202
0.12012	0.2024
0.14014	0.20279
0.16016	0.20319
0.18018	0.20358
0.2002	0.20398
0.22022	0.20437
0.24024	0.20476
0.26026	0.20515
0.28028	0.20553
0.3003	0.20592
0.32032	0.2063
0.34034	0.20668
0.36036	0.20705
0.38038	0.20743
0.4004	0.2078
0.42042	0.20816
0.44044	0.20853
0.46046	0.20889
0.48048	0.20924
0.5005	0.2096
0.52052	0.20995
0.54054	0.21029
0.56056	0.21063
0.58058	0.21097
0.6006	0.2113
0.62062	0.21163
0.64064	0.21195
0.66066	0.21227
0.68068	0.21259
0.7007	0.2129
0.72072	0.2132
0.74074	0.2135
0.76076	0.21379
0.78078	0.21408
0.8008	0.21436
0.82082	0.21463
0.84084	0.2149
0.86086	0.21517
0.88088	0.21543
0.9009	0.21568
0.92092	0.21592
0.94094	0.21616
0.96096	0.21639
0.98098	0.21662
1.001	0.21684
1.021	0.21705
1.041	0.21726
1.0611	0.21746
1.0811	0.21765
1.1011	0.21783
1.1211	0.21801
1.1411	0.21818
1.1612	0.21835
1.1812	0.2185
1.2012	0.21865
1.2212	0.21879
1.2412	0.21892
1.2613	0.21905
1.2813	0.21917
1.3013	0.21928
1.3213	0.21938
1.3413	0.21948
1.3614	0.21956
1.3814	0.21964
1.4014	0.21971
1.4214	0.21978
1.4414	0.21983
1.4615	0.21988
1.4815	0.21992
1.5015	0.21995
1.5215	0.21998
1.5415	0.21999
1.5616	0.22
1.5816	0.22
1.6016	0.21999
1.6216	0.21997
1.6416	0.21995
1.6617	0.21992
1.6817	0.21988
1.7017	0.21983
1.7217	0.21977
1.7417	0.21971
1.7618	0.21964
1.7818	0.21956
1.8018	0.21947
1.8218	0.21937
1.8418	0.21927
1.8619	0.21916
1.8819	0.21904
1.9019	0.21891
1.9219	0.21878
1.9419	0.21864
1.962	0.21849
1.982	0.21833
2.002	0.21817
2.022	0.218
2.042	0.21782
2.0621	0.21763
2.0821	0.21744
2.1021	0.21724
2.1221	0.21704
2.1421	0.21682
2.1622	0.2166
2.1822	0.21638
2.2022	0.21614
2.2222	0.2159
2.2422	0.21566
2.2623	0.21541
2.2823	0.21515
2.3023	0.21488
2.3223	0.21461
2.3423	0.21434
2.3624	0.21405
2.3824	0.21377
2.4024	0.21347
2.4224	0.21318
2.4424	0.21287
2.4625	0.21256
2.4825	0.21225
2.5025	0.21193
2.5225	0.21161
2.5425	0.21128
2.5626	0.21094
2.5826	0.21061
2.6026	0.21027
2.6226	0.20992
2.6426	0.20957
2.6627	0.20922
2.6827	0.20886
2.7027	0.2085
2.7227	0.20813
2.7427	0.20777
2.7628	0.2074
2.7828	0.20702
2.8028	0.20665
2.8228	0.20627
2.8428	0.20589
2.8629	0.2055
2.8829	0.20512
2.9029	0.20473
2.9229	0.20434
2.9429	0.20395
2.963	0.20355
2.983	0.20316
3.003	0.20276
3.023	0.20237
3.043	0.20197
3.0631	0.20157
3.0831	0.20117
3.1031	0.20077
3.1231	0.20037
